id,rle_mask
830509e296,
e01867ca71,1 78 102 79 203 81 304 80 405 80 506 79 607 79 708 79 809 81 910 83 1011 84 1112 85 1213 86 1314 87 1415 87 1516 87 1617 86 1718 87 1819 87 1920 87 2021 88 2122 87 2223 88 2324 88 2425 88 2526 89 2616 1 2627 92 2723 2 2728 99 2829 100 2930 100 3031 3230 6262 100 6364 199 6566 93 6667 90 6760 1 6768 89 6869 87 6970 85 7071 81 7172 79 7273 77 7374 77 7475 77 7576 77 7677 74 7752 1 7778 75 7879 74 7980 71 8081 72 8182 71 8283 71 8384 71 8456 1 8458 1 8485 70 8556 1 8586 73 8687 73 8788 72 8889 73 8990 72 9063 2 9091 69 9162 1 9192 70 9293 67 9361 1 9363 1 9394 16 9411 47 9459 3 9463 1 9465 1 9495 66 9562 2 9596 2 9599 62 9665 2 9670 1 9697 65 9768 1 9770 1 9798 52 9851 4 9856 6 9899 52 9952 2 9956 9 10000 54 10058 6 10101 48 10161 4
f597d72b6d,
b4650d576e,22 2 25 75 125 76 227 74 326 1 329 73 430 75 528 79 628 1 630 77 728 81 829 81 929 82 1028 84 1126 87 1227 87 1326 89 1426 90 1525 92 1626 92 1724 1 1727 93 1827 94 1924 1 1926 97 2025 1 2028 6861 8890 3 8894 2 8897 93 9000 91 9101 90 9204 87 9292 1 9307 85 9408 80 9489 5 9509 84 9594 1 9611 83 9712 1 9715 75 9791 2 9794 2 9815 76 9893 1 9895 1 9916 79 10017 77 10120 74
7815ce431a,
afaa14f2a2,
bc77c9515b,1 80 102 78 203 74 278 1 304 74 405 74 506 74 581 1 607 74 708 69 778 2 809 74 910 73 984 2 1011 71 1083 1 1085 2 1112 77 1213 77 1314 76 1391 1 1415 73 1489 4 1516 72 1589 6 1617 78 1718 77 1819 76 1896 1 1920 77 2015 1 2018 1 2020 79 2118 1 2122 78 2223 78 2321 1 2324 77 2425 77 2524 1 2526 76 2620 1 2623 2 2627 78 2722 1 2725 1 2728 79 2820 3 2826 1 2829 79 2920 3 2924 1 2926 3 2930 83 3021 3 3026 4 3031 84 3119 1 3123 4 3128 3 3132 87 3220 7 3228 94 3323 5 3329 4 3334 807 4142 6060
aeb4aa148c,
9a7167039d,1 100 103 100 204 96 301 1 305 9897
55461699f5,
cae26f3214,
a433189cb9,
c87253dfae,
4bf2e5b78e,
61023e1d99,
ea5cc18a2d,
42f3ec73d6,1 10201
94fd51a14f,8231 1 8533 1
a1a0480cd9,
b97a4c857d,
e85ba9f671,1 10201
7520edb0d6,1 68 74 4 79 1 82 19 102 69 178 1 180 91 282 3 286 16 303 68 372 1 388 12 402 1 405 67 490 10 501 1 503 70 574 1 590 3 594 9 604 1 606 69 702 3 707 68 808 70 909 71 1011 71 1112 73 1186 1 1213 72 1314 73 1415 71 1516 71 1617 68 1718 68 1819 68 1920 68 2021 67 2122 66 2223 66 2324 64 2425 62 2526 47 2575 1 2582 1 2584 2 2596 1 2627 45 2696 2 2728 44 2795 3 2829 40 2897 1 2930 40 3031 38 3132 36 3233 34 3334 32 3435 30 3536 28 3568 1 3637 28 3666 1 3738 30 3839 29 3940 27 3968 1 4041 26 4071 1 4142 29 4243 24 4268 5 4344 28 4445 23 4469 1 4546 25 4647 25 4748 22 4849 24 4950 23 5051 28 5152 28 5253 28 5354 29 5455 29 5556 31 5657 32 5758 34 5859 35 5960 36 6061 36 6156 2 6162 37 6250 1 6254 1 6256 1 6263 38 6352 9 6364 37 6448 13 6462 1 6465 37 6550 7 6558 5 6566 37 6651 14 6666 37 6752 14 6767 38 6853 14 6868 38 6954 54 7055 54 7154 56 7255 56 7355 57 7452 62 7552 66 7651 70 7752 68 7852 71 7954 72 8032 2 8054 73 8128 1 8130 1 8132 1 8134 1 8156 82 8253 1 8257 82 8360 80 8457 1 8460 83 8554 3 8558 88 8654 97 8752 1 8754 1 8756 1446
d615842865,
3a00f81f99,
c81e790680,
6d94eea16d,1 91 102 93 203 93 304 94 405 94 506 95 607 95 708 95 809 95 905 1 910 96 1011 98 1112 100 1213 7170 8384 201 8586 100 8687 99 8788 97 8889 94 8990 93 9091 91 9192 90 9293 88 9394 87 9495 85 9598 1 9600 81 9701 80 9806 77 9909 75 10011 73 10113 70
6059cedbfb,1 10201
d5992222c3,
e24efb21d8,1 1 81 21 181 22 283 21 385 20 488 18 589 18 691 17 792 17 810 2 813 1 892 18 911 3 990 21 1012 3 1090 22 1113 4 1189 30 1291 29 1391 30 1493 29 1594 30 1696 21 1718 7 1800 26 1903 15 1920 9 2005 1 2007 10 2021 10 2108 1 2115 3 2122 11 2134 1 2223 13 2324 14 2425 14 2526 13 2627 14 2728 13 2829 13 2930 12 3031 11 3132 13 3233 13 3334 10 3435 10 3536 10 3637 11 3738 12 3839 11 3851 1 3940 13 4041 13 4142 14 4243 14 4344 15 4445 15 4546 15 4647 16 4748 15 4849 15 4950 15 5051 15 5152 15 5253 15 5354 15 5455 16 5556 15 5657 15 5758 15 5859 16 5960 17 6061 17 6079 1 6162 19 6263 19 6364 19 6465 18 6566 18 6667 17 6768 17 6869 17 6970 17 7071 18 7172 18 7273 18 7374 18 7475 18 7576 19 7677 19 7778 19 7879 19 7980 19 8081 17 8182 16 8283 16 8384 15 8485 14 8586 15 8687 14 8788 14 8889 13 8990 13 9091 12 9192 13 9293 12 9337 1 9394 11 9495 11 9596 11 9697 11 9798 11 9899 12 9992 1 9995 1 10000 9 10010 1 10012 1 10093 2 10101 7 10196 1
82d65941ec,
ca32b9178d,
cdda3b1f5e,
4bf4b35f56,
d65df3a8cf,
66e5e6debd,
539c2225d3,1 4746 4748 301 5050 101 5152 100 5253 100 5354 100 5455 4747
c4902fb3f1,
547b7e3237,13 3 17 84 114 1 116 84 218 83 319 1 322 82 417 1 419 87 513 1 518 89 614 1 616 1 618 92 712 99 814 98 913 9289
4a23ca32fa,1 10201
9b7ade011b,
ab2e576462,1 99 102 100 203 99 304 100 405 200 607 100 708 100 809 6968 7778 99 7879 98 7980 98 8080 97 8178 1 8182 93 8283 92 8384 92 8485 90 8586 90 8687 88 8788 87 8889 86 8990 82 9073 2 9091 82 9193 80 9294 78 9395 77 9495 76 9597 6 9604 67 9698 73 9772 1 9806 66 9905 1 9907 65 10007 65 10110 62
dd230b84a9,
c771336efb,
e907b958e2,
d18dec87b4,
1ee8d337ab,
79e00af543,
065c6cd6ff,
64e526c39f,
ad56da0d75,
